,rospy+AF8-node+AF8-type,log+AF8-severity,date+AF8-time,node+AF8-name,node+AF8-log
0,rospy.client,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,606+ACI-,+ACI-init+AF8-node,+ACI-,+ACI-name+AFs-/CommandServer+AF0-, pid+AFs-26727+AF0-+ACI-
1,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,606+ACI-,XML+AC0-RPC,server binding to 0.0.0.0:0
2,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,607+ACI-,Started,XML+AC0-RPC server +AFs-http://192.168.50.93:34613/+AF0-
3,rospy.init,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,607+ACI-,ROS,Slave URI: +AFs-http://192.168.50.93:34613/+AF0-
4,rospy.impl.masterslave,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,607+ACI-,+AF8-ready:,http://192.168.50.93:34613/
5,rospy.registration,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,615+ACI-,Registering,with master node http://021708CP00107.local:11311
6,xmlrpc,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,616+ACI-,xml,rpc node: starting XML+AC0-RPC server
7,rospy.init,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,707+ACI-,registered,with master
8,rospy.rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,707+ACI-,initializing,/rosout core topic
9,rospy.rosout,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,814+ACI-,connected,to core topic /rosout
10,rospy.simtime,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,818+ACI-,/use+AF8-sim+AF8-time,+ACI-is not set, will not subscribe to simulated time +AFs-/clock+AF0- topic+ACI-
11,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,882+ACI-,topic+AFs-/robot/limb/right/endpoint+AF8-state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
12,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,896+ACI-,topic+AFs-/robot/limb/right/collision+AF8-detection+AF8-state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
13,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,897+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
14,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,897+ACI-,topic+AFs-/robot/limb/right/tip+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:51079/+AF0-, count 0+ACI-
15,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,898+ACI-,topic+AFs-/robot/joint+AF8-states+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 1+ACI-
16,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:26,913+ACI-,topic+AFs-/io/end+AF8-effector/config+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
17,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,042+ACI-,topic+AFs-/rosout+AF0-,+ACI-adding connection to +AFs-/rosout+AF0-, count 0+ACI-
18,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,052+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/config+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
19,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,065+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/state+AF0-,+ACI-adding connection to +AFs-http://021708CP00107.local:58103/+AF0-, count 0+ACI-
20,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,145+ACI-,topic+AFs-/robot/limb/right/set+AF8-speed+AF8-ratio+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
21,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,145+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
22,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,146+ACI-,topic+AFs-/robot/limb/right/joint+AF8-command+AF8-timeout+AF0-,+ACI-adding connection to +AFs-/realtime+AF8-loop+AF0-, count 0+ACI-
23,rospy.internal,INFO,+ACI-2023+AC0-11+AC0-11 15:00:27,241+ACI-,topic+AFs-/io/end+AF8-effector/right+AF8-gripper/command+AF0-,+ACI-adding connection to +AFs-/end+AF8-effector+AF8-io+AF0-, count 0+ACI-
